name,code,cost,supertype,cardtype,subtype,rarity,rulestext,flavourtext,power,toughness,artist,art_url,image_url,frame,active
Anima Infester,CB03,1b,,Artifact Creature,Rat,common,"Whenever Anima Infester deals combat damage to a player, you may sacrifice it. When you do, remove all counters from target permanent that player controls.",,2,1,,,https://www.planesculptors.net/upload/5734/16049/Anima%20Infester.jpg,Black,
Anima Inversion,MB02,4b,,Artifact Creature,Elemental,mythic,"Clockwork 5
Whenever Anima Inversion becomes tapped, counter any number of other target activated or triggered abilities. You lose 1 life for each ability countered this way.
At the beginning of each end step, put a +1/+1 counter on each of up to X target creatures, where X is the amount of life you lost this turn.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Anima%20Inversion.jpg,Black,
Bramble Thicket,CB05,2b,,Artifact Creature,Treefolk,common,"Whenever an equipped creature deals damage to Bramble Thicket, attach target Equipment attached to that creature to Bramble Thicket. It gains &quot;&quot;Equip abilities of this Equipment cost {1} more to activate.&quot;&quot;",,1,3,,,https://www.planesculptors.net/upload/5734/16049/Bramble%20Thicket.jpg,Black,
"Braxa, Terror of Mount Sola",MB01,6b,Legendary,Artifact Creature,Demon,mythic,"Flying, trample
Whenever a creature an opponent controls dies, if it had counters on it, you may put those counters on Braxa, Terror of Mount Sola.
Whenever a creature card with clockwork is put into an opponent&#39;s graveyard from anywhere other than the battlefield, put its counters on Braxa.",,5,5,,,https://www.planesculptors.net/upload/5734/16049/Braxa%20Terror%20of%20Mount%20Sola.jpg,Black,
Cable Nibbler,CB01,B,,Artifact Creature,Rat,common,"Deathtouch
When Cable Nibbler dies, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,1,1,,,https://www.planesculptors.net/upload/5734/16049/Cable%20Nibbler.jpg,Black,FALSE
Crowd Justice,UB09,2bb,,Instant,,uncommon,"Each creature gets -2/-2 until end of turn. Whenever a nontoken creature dies this turn, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,,,,,https://www.planesculptors.net/upload/5734/16049/Crowd%20Justice.jpg,Black,FALSE
Cut Down to Size,CB12,1b,,Enchantment,Aura,common,"Enchant creature
Enchanted creature gets -2/-2.
When enchanted creature dies, exile it and create a 1/1 black Skeleton artifact creature token.","&quot;&quot;Not so tough now, huh?&quot;&quot;",,,,,https://www.planesculptors.net/upload/5734/16049/Cut%20Down%20to%20Size.jpg,Black,
Dark Ascetic,UB06,2BB,,Artifact Creature,Cleric,uncommon,"{1}{B}, Sacrifice another artifact or creature: Put a +1/+1 counter on Dark Ascetic if you sacrificed an artifact this way. Dark Ascetic gains indestructible until end of turn if you sacrificed a creature this way. (Do both if you sacrificed an artifact creature).",Supplicants are encouraged to bring offerings.,1,1,,,https://www.planesculptors.net/upload/5734/16049/Dark%20Ascetic.jpg,Black,FALSE
Energy Transfer,UB08,3b,,Enchantment,Aura,uncommon,"Enchant creature you control
When Energy Transfer enters, put a +1/+1 counter on enchanted creature.
When enchanted creature dies, return target creature card with lesser power from your graveyard to the battlefield tapped.",,,,,,https://www.planesculptors.net/upload/5734/16049/Energy%20Transfer.jpg,Black,
"Fon-Novux, Entropic Warden",RB05,5BB,Legendary,Artifact Creature,Treefolk,rare,"When Fon-Novux, Entropic Warden enters, put target nonlegendary creature card from a graveyard onto the battlefield under your control.
When Fon-Novux dies, if it wasn&#39;t a token, create a token that&#39;s a copy of it.",It&#39;s hard to see the forest for the trees when the trees keep trying to kill you.,4,7,,,https://www.planesculptors.net/upload/5734/16049/Fon-Novux%20Entropic%20Warden.jpg,Black,
Gear Strip,CB13,1b,,Instant,,common,"As an additional cost to cast this spell, sacrifice an artifact or pay {3}.
Destroy target creature. Its controller loses 2 life.",,,,,,https://www.planesculptors.net/upload/5734/16049/Gear%20Strip.jpg,Black,
Hungry Stray,UB01,b,,Artifact Creature,Cat,uncommon,"When Hungry Stray enters, target opponent loses 1 life and you gain 1 life.
Whenever you sacrifice a Scrap, you may pay {b}. If you do, return Hungry Stray from your graveyard to the battlefield tapped.",Feed it once and it&#39;ll never leave.,1,1,,,https://www.planesculptors.net/upload/5734/16049/Hungry%20Stray.jpg,Black,
Junkyard Pilferer,CB08,3b,,Artifact Creature,Artificer Rogue,common,"At the beginning of your end step, you may exile target creature card from a graveyard. If you do, create a 1/1 black Skeleton artifact creature token.","&quot;&quot;What a state the world is in. I restore them from junk, and they aren&#39;t even grateful.&quot;&quot;",4,3,,,https://www.planesculptors.net/upload/5734/16049/Junkyard%20Pilferer.jpg,Black,
Lauflug Pirates,CB10,3bb,,Artifact Creature,Pirate,common,"Clockwork 3 (This creature enters with 3 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Whenever Lauflug Pirates deals combat damage to a player, each player mills that many cards.",,1,0,,,https://www.planesculptors.net/upload/5734/16049/Lauflug%20Pirates.jpg,Black,
Magnetic Induction,RB07,3bb,,Sorcery,,rare,"For each player, you create a 1/1 white Thopter artifact creature token with flying, then move any number of counters from among permanents that player controls onto that token.",,,,,,https://www.planesculptors.net/upload/5734/16049/Magnetic%20Induction.jpg,Black,
Mark for Disposal,CB14,2b,,Instant,,common,"Target creature gets -4/-4 until end of turn. When that creature dies this turn, exile it and you create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,,,,,https://www.planesculptors.net/upload/5734/16049/Mark%20for%20Disposal.jpg,Black,
Mischief of Rats,UB02,bb,,Artifact Creature,Rat,uncommon,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
When Mischief of Rats dies, if it had no counters on it, return it to its owner&#39;s hand.","They consist of parts repurposed from any source, even each other.",0,0,,,https://www.planesculptors.net/upload/5734/16049/Mischief%20of%20Rats.jpg,Black,FALSE
Morex Vultures,UB04,2b,,Artifact Creature,Bird,uncommon,"Flying
When Morex Vultures enters, you may exile target creature card from your graveyard. When you do, create a token that&#39;s a copy of the exiled card, except it&#39;s 1/1 black Skeleton.",,2,2,,,https://www.planesculptors.net/upload/5734/16049/Morex%20Vultures.jpg,Black,
Multi-Limbed Menace,CB07,2b,,Artifact Creature,Warrior,common,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Menace",,2,0,,,https://www.planesculptors.net/upload/5734/16049/Multi-Limbed%20Menace.jpg,Black,
Pallid Duskhunter,CB09,3b,,Artifact Creature,Bat,common,"Flying
When Pallid Duskhunter enters or dies, each opponent loses 1 life and you gain 1 life.",,2,3,,,https://www.planesculptors.net/upload/5734/16049/Pallid%20Duskhunter.jpg,Black,
Parasitic Wasp,RB04,3bb,,Artifact Creature,Insect,rare,"Deathtouch, flying
Whenever a creature dealt damage by Parasitic Wasp this turn dies, create a token that&#39;s a copy of Parasitic Wasp.",,2,2,,http://www.popsci.com/files/imagecache/photogallery_image/articles/braconidae.jpg,https://www.planesculptors.net/upload/5734/16049/Parasitic%20Wasp.jpg,Black,
Peatland Lurker,CB11,5b,,Artifact Creature,Giant,common,"Deathtouch
{2}{b}, Discard Peatland Lurker: Put a +1/+1 counter on target creature. It gains deathtouch until end of turn.",Landmarks in the Aqming Peatlands tend to vanish right when you need them most.,4,6,,,https://www.planesculptors.net/upload/5734/16049/Peatland%20Lurker.jpg,Black,
Pulgap Jackals,UB05,2b,,Artifact Creature,Jackal,uncommon,"When Pulgap Jackals enters, each player sacrifices a nontoken creature.
Sacrifice three Scraps: Return Pulgap Jackals from your graveyard to your hand.",,3,1,,,https://www.planesculptors.net/upload/5734/16049/Pulgap%20Jackals.jpg,Black,
Redistribution of Power,RB06,2bb,,Instant,,rare,"As an additional cost to cast this spell, sacrifice a creature.
You draw cards equal to the sacrificed creature’s power and you lose that much life. Distribute that many +1/+1 counters among creatures you control.",,,,,,https://www.planesculptors.net/upload/5734/16049/Redistribution%20of%20Power.jpg,Black,
Relentless Tracker,CB06,2b,,Artifact Creature,Dog,common,"Clockwork 3 (This creature enters with 3 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Relentless Tracker can&#39;t block.",It never slows and it never loses a trail.,0,0,,,https://www.planesculptors.net/upload/5734/16049/Relentless%20Tracker.jpg,Black,
Remote Operator,UB03,1b,,Artifact Creature,Artificer,uncommon,"Deathtouch
When Remote Operator dies, create a 1/1 white Thopter artifact creature token with flying.","&quot;&quot;Questioning this one&#39;s gonna be hard, boss. His, uh, head escaped.&quot;&quot;",1,2,,,https://www.planesculptors.net/upload/5734/16049/Remote%20Operator.jpg,Black,
Rise from Rust,CB15,3b,,Instant,,common,"Return target artifact or creature card from your graveyard to your hand. When you return a card with clockwork this way, put its counters on target artifact or creature you control.",,,,,,https://www.planesculptors.net/upload/5734/16049/Rise%20from%20Rust.jpg,Black,
Schematic Extraction,CB17,2b,,Sorcery,,common,"Target player discards a card. If they discard an artifact card this way, you draw a card. Otherwise, they discard another card.",&quot;&quot;Let&#39;s see what makes you tick.&quot;&quot;,,,,,https://www.planesculptors.net/upload/5734/16049/Schematic%20Extraction.jpg,Black,FALSE
Scramble the Comm-Lines,UB10,4b,,Instant,,uncommon,Exile target creature. Each player mills cards equal to its power.,&quot;&quot;Let&#39;s see Kosmen make any sense of this!&quot;&quot;,,,,,https://www.planesculptors.net/upload/5734/16049/Scramble%20the%20Comm-Lines.jpg,Black,
Scrappy Underdog,CB02,b,,Artifact Creature,Warrior,common,"Clockwork 1 (This creature enters with 1 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
When Scrappy Underdog dies, give target permanent another counter of each kind already there.",&quot;&quot;That all you got?&quot;&quot;,1,0,,,https://www.planesculptors.net/upload/5734/16049/Scrappy%20Underdog.jpg,Black,
Shadow Boxer,RB02,2b,,Artifact Creature,Warrior,rare,"Clockwork 3 (This creature enters with 3 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Skulk (This creature can&#39;t be blocked by creatures with greater power.)
Whenever Shadow Boxer deals combat damage to a player, it deals that much damage to target creature that player controls and you gain that much life.",,1,0,,,https://www.planesculptors.net/upload/5734/16049/Shadow%20Boxer.jpg,Black,
Shambling Amalgamator,RB03,2bb,,Artifact Creature,Horror,rare,"Menace
At the beginning of each combat, any opponent may sacrifice a nontoken artifact. If a player does, tap Shambling Amalgamator and put a +1/+1 counter on it.",,6,6,,,https://www.planesculptors.net/upload/5734/16049/Shambling%20Amalgamator.jpg,Black,FALSE
Sickening Radiance,MB03,3bb,,Enchantment,,mythic,"When Sickening Radiance enters, each creature gets -1/-1 until end of turn.
Whenever a creature you control dies, each creature your opponents control get -1/-1 until end of turn.",,,,,,https://www.planesculptors.net/upload/5734/16049/Sickening%20Radiance.jpg,Black,
Spreading Rust,CB19,1bb,,Sorcery,,uncommon,"Remove all counters from target permanent an opponent controls.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Spreading%20Rust.jpg,Black,
Strip for Parts,CB16,2bb,,Sorcery,,common,"Destroy target creature. Choose one —
• Create a 1/1 black Skeleton artifact creature token.
• Create two Scrap tokens. (They&#39;re artifacts with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",Competition for resources is cutthroat in the Morex Syndicate.,,,,,https://www.planesculptors.net/upload/5734/16049/Strip%20for%20Parts.jpg,Black,
Swap Out Parts,UB12,2B,,Sorcery,,uncommon,"Put target creature card from a graveyard onto the battlefield under your control, then sacrifice any number of creatures with equal or greater total mana value.",,,,,,https://www.planesculptors.net/upload/5734/16049/Swap%20Out%20Parts.jpg,Black,
Syndicate Guard-Captain,RB01,1b,,Artifact Creature,Warrior,rare,"Syndicate Guard-Captain has first strike as long as it&#39;s attacking.
Whenever Syndicate Guard-Captain deals combat damage to an opponent, other creatures you control get +1/+0 until end of turn.",,3,1,,,https://www.planesculptors.net/upload/5734/16049/Syndicate%20Guard-Captain.jpg,Black,
Syndicate Hacker,CB04,1b,,Artifact Creature,Artificer,common,"Flying
When Syndicate Hacker dies, each opponent discards a card.","Wingsuit modeled after pteranodon wings, disruption technique modeled after the less bright pteranodons.",1,1,,,https://www.planesculptors.net/upload/5734/16049/Syndicate%20Hacker.jpg,Black,
Tersol Scavenging,CB18,1b,,Sorcery,,common,"Whenever a creature card is put into a graveyard from anywhere this turn, each opponent loses 1 life.
Each player mills two cards, then you may put a card from your graveyard on top of your library.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Tersol%20Scavenging.jpg,Black,
Torment of Braxa,RB08,2bb,,Sorcery,,rare,"Each opponent loses 3 life unless that player sacrifices a nonland permanent or discards a card.
Cipher","Parents tell stories of the demonic Braxa to keep their children in line, secretly hoping they&#39;re not true themselves.",,,,,https://www.planesculptors.net/upload/5734/16049/Torment%20of%20Braxa.jpg,Black,
Vile Eclipse,UB11,1b,,Sorcery,,uncommon,"Target opponent sacrifices a creature or enchantment.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Vile%20Eclipse.jpg,Black,
Arza District Insurrectionist,RR01,1r,,Artifact Creature,Warrior,rare,"Whenever Arza District Insurrectionist attacks, target creature defending player controls with power less than Arza District Insurrectionist&#39;s power can&#39;t block this turn.
Whenever you remove a counter from another permanent you control, put a +1/+1 counter on Arza District Insurrectionist. This ability triggers only once each turn.",,3,1,,,https://www.planesculptors.net/upload/5734/16049/Arza%20District%20Insurrectionist.jpg,Red,
Band of Raptors,UR06,3r,,Artifact Creature,Dinosaur,uncommon,"{R}: Band of Raptors gains your choice of haste or menace until end of turn.
{R}: Band of Raptors gets +1/+0 until end of turn.",,3,3,,,https://www.planesculptors.net/upload/5734/16049/Band%20of%20Raptors.jpg,Red,FALSE
Careless Forgetender,UR04,2r,,Artifact Creature,Artificer,uncommon,"At the beginning of your upkeep, sacrifice a token. When you do, put a +1/+1 counter on Careless Forgetender and create a 2/1 red Elemental artifact creature token with haste and &quot;&quot;At the beginning of your end step, sacrifice this creature.&quot;&quot;",,2,2,,,https://www.planesculptors.net/upload/5734/16049/Careless%20Forgetender.jpg,Red,
Chips Are Down,RR06,3rr,,Enchantment,,rare,"Players can&#39;t cast spells from their hands.
At the beginning of each player&#39;s upkeep, they exile the top card of their library.  Until end of turn, they may cast spells from among cards exiled with Chips Are Down, and they may spend mana as though it were mana of any type to cast that spell.",,,,,,https://www.planesculptors.net/upload/5734/16049/Chips%20Are%20Down.jpg,Red,
Corrosive Spray,CR18,r,,Sorcery,,common,"Corrosive Spray deals 1 damage to any target. It deals 3 damage instead if that target is a creature that’s been dealt damage this turn.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Corrosive%20Spray.jpg,Red,
Crackling Ceratops,CR02,1r,,Artifact Creature,Dinosaur,common,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
{3}{r}: Put a +1/+1 counter on Crackling Ceratops. Activate this ability only once each turn and only if Crackling Ceratops is attacking.","It burrows in the desert sands during the day, which builds up an electric charge in its horns it can release for defense.",0,0,,,https://www.planesculptors.net/upload/5734/16049/Crackling%20Ceratops.jpg,Red,
Desert Colossus,RR05,4RR,,Artifact Creature,Giant,rare,"Menace
When Desert Colossus enters, each player sacrifices a nonbasic land.
Whenever you cast your second spell each turn, return Desert Colossus from your graveyard to your hand.",,6,6,keepwalking07,http://th07.deviantart.net/fs71/PRE/f/2012/048/5/5/the_crab_by_keepwalking07-d4q2y53.jpg,https://www.planesculptors.net/upload/5734/16049/Desert%20Colossus.jpg,Red,FALSE
Flechette Thrower,MR02,4R,,Artifact Creature,Warrior,mythic,"Whenever Flechette Thrower attacks, gain control of target artifact attached to a creature defending player controls until end of turn and attach it to Flechette Thrower.
{R}: If you would lose control of target artifact this turn, instead sacrifice that artifact. When you do, Flechette Thrower deals damage to any target equal to the sacrificed permanent&#39;s mana value.",,4,3,,,https://www.planesculptors.net/upload/5734/16049/Flechette%20Thrower.jpg,Red,FALSE
Freedom of Information,RR08,1rr,,Sorcery,,rare,"Whenever you play a card from exile this turn, create a Treasure token.
Exile the top two cards of your library. You may play those cards this turn.
Cipher","Free to the highest bidder, that is.",,,,,https://www.planesculptors.net/upload/5734/16049/Freedom%20of%20Information.jpg,Red,
Gensto Crasher,CR10,3rr,,Artifact Creature,Ape,common,Reach,Not every landslide in the Gensto Mountains has a natural cause.,4,5,,,https://www.planesculptors.net/upload/5734/16049/Gensto%20Crasher.jpg,Red,FALSE
Hijack,CR17,1rr,,Sorcery,,common,Gain control of target artifact or creature until end of turn. Untap it. It gains haste until end of turn.,Kosmen&#39;s control will slowly fade if an organism is disconnected from the World Mind for too long. A little tinkering can expediate the process.,,,,,https://www.planesculptors.net/upload/5734/16049/Hijack.jpg,Red,
Improvised Weapons,CR12,R,,Enchantment,Aura,common,"As an additional cost to cast this spell, sacrifice a Scrap or pay {2}.
Enchant creature
Enchanted creature gets +2/+0 and has first strike.",,,,,,https://www.planesculptors.net/upload/5734/16049/Improvised%20Weapons.jpg,Red,
Insatiable Furnace,RR04,3rr,,Artifact,,rare,"Whenever Insatiable Furnace or another artifact you control it put into the graveyard from the battlefield, you may create a number of 2/1 red Elemental artifact creature tokens with haste and &quot;&quot;At the beginning of your end step, sacrifice this creature&quot;&quot; equal to that permanent&#39;s mana value. Do this only once each turn.",,,,,,https://www.planesculptors.net/upload/5734/16049/Insatiable%20Furnace.jpg,Red,
Liburb District Engineer,RR03,3r,,Artifact Creature,Artificer,rare,"Clockwork 3 (This creature enters with 3 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
First strike
Whenever Liburb District Engineer deals combat damage to a player, you may copy the next instant or sorcery spell you cast this turn. When you do, put a +1/+1 counter on Liburb District Engineer and untap it.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Liburb%20District%20Engineer.jpg,Red,
Morex Sell-Sword,UR01,R,,Artifact Creature,Warrior,uncommon,"Haste
At the beginning of each players upkeep, that player untaps Morex Sell-Sword and gains control of it.",,2,2,,,https://www.planesculptors.net/upload/5734/16049/Morex%20Sell-Sword.jpg,Red,
Mount Sola Ascetic,CR06,2r,,Artifact Creature,Shaman,common,"Whenever Mount Sola Ascetic is dealt damage, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,3,2,,,https://www.planesculptors.net/upload/5734/16049/Mount%20Sola%20Ascetic.jpg,Red,
Optimistic Rummager,UR03,1r,,Artifact Creature,Ape Artificer,uncommon,"{T}, Discard a card: Draw a card and reveal it. If its mana value is less than the mana value of the card you discarded, Optimistic Rummager deals damage to you equal to the difference.",&quot;&quot;Where did you even *get* high explosives?&quot;&quot;,3,1,,,https://www.planesculptors.net/upload/5734/16049/Optimistic%20Rummager.jpg,Red,
Ornery Trusosaur,CR11,4RR,,Artifact Creature,Dinosaur,common,"Menace
Ornery Trusosaur gets +1/+1 for each instant and sorcery card you own in exile.",,5,4,,,https://www.planesculptors.net/upload/5734/16049/Ornery%20Trusosaur.jpg,Red,
Overclock,UR09,XRr,,Instant,,uncommon,"Until end of turn, target creature you control gets + X/+0 and gains trample and &quot;&quot;Whenever this creature deals combat damage to a player, create that many Scrap tokens.&quot;&quot; At the beginning of the next end step, Overclock deals X damage to it. (They&#39;re artifacts with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,,,,,https://www.planesculptors.net/upload/5734/16049/Overclock.jpg,Red,FALSE
Ovoraptor,RR02,2r,,Artifact Creature,Dinosaur,rare,"Whenever Ovoraptor blocks or becomes blocked by a creature, Ovoraptor deals damage to that creature equal to the number of counters on that creature.
Whenever you sacrifice an artifact, put a +1/+1 counter on Ovoraptor.",,2,1,,,https://www.planesculptors.net/upload/5734/16049/Ovoraptor.jpg,Red,
Plagiarize,RR07,2rr,,Instant,,rare,"Copy target artifact, instant, or sorcery spell. You may choose new targets for the copy. If you copy an artifact spell this way, the permanent it becomes has haste and &quot;&quot;Sacrifice this permanent at the beginning of your end step.&quot;&quot;",,,,,,https://www.planesculptors.net/upload/5734/16049/Plagiarize.jpg,Red,
Pulgap Deadshot,CR03,1r,,Artifact Creature,Warrior,common,"Whenever you cast an artifact spell, Pulgap Deadshot deals 1 damage to any target. This ability triggers only once each turn.","She vanishes in the heat shimmers, but her bolt strikes true.",2,1,,,https://www.planesculptors.net/upload/5734/16049/Pulgap%20Deadshot.jpg,Red,
Pulgap Raider,CR04,1r,,Artifact Creature,Warrior,common,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
{1}{r}: Pulgap Raider gains first strike until end of turn.",,1,0,,,https://www.planesculptors.net/upload/5734/16049/Pulgap%20Raider.jpg,Red,FALSE
Raging Thunderbeast,CR07,2rr,,Artifact Creature,Dinosaur,common,"Clockwork 4 (This creature enters with 4 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Haste
Raging Thunderbeast attacks each turn if able.",,1,0,,,https://www.planesculptors.net/upload/5734/16049/Raging%20Thunderbeast.jpg,Red,
Rapid Assembly,CR15,3r,,Instant,,common,"Choose one —
• Create two Scrap tokens. Put a +1/+1 counter on each of them and they become 0/0 artifact creatures.
• Creatures you control get +2/+0 until end of turn.","“I don’t care if their sudden consciousness is disorienting, show them the pointy end of the stick and get them back out there!”",,,,,https://www.planesculptors.net/upload/5734/16049/Rapid%20Assembly.jpg,Red,
Receive New Orders,UR10,2r,,Instant,,uncommon,"As an additional cost to cast this spell, you may put a card with cipher you own in exile into your graveyard. When you do, copy this spell.
Exile the top two cards of your library. Until the end of your next turn, you may play those cards.","With a clank and a hum, a new message filled the comm-lines.",,,,,https://www.planesculptors.net/upload/5734/16049/Receive%20New%20Orders.jpg,Red,
Repurpose,CR19,1r,,Sorcery,,common,"As an additional cost to cast this spell, discard a card.
Draw two cards and create a Scrap token.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Repurpose.jpg,Red,
Resonance Bolt,CR14,r,,Instant,,common,"Resonance Bolt deals 2 damage to any target. If this is the second spell you&#39;ve cast this turn, Resonance Bolt deals 4 damage to that permanent or player instead.",,,,,,https://www.planesculptors.net/upload/5734/16049/Resonance%20Bolt.jpg,Red,
Scrap Polisher,UR02,1r,,Artifact Creature,Artificer,uncommon,"When Scrap Polisher enters, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)
Sacrifice two Scraps: Create a tapped Treasure token.",,1,2,,,https://www.planesculptors.net/upload/5734/16049/Scrap%20Polisher.jpg,Red,FALSE
Scrapdragon Tyrant,MR01,5rrr,,Artifact Creature,Dragon,mythic,"This spell costs {1} less to cast for each artifact token you control.
Flying, first strike
Whenever Scrapdragon Tyrant enters or attacks, sacrifice another artifact. When you do, destroy target artifact or creature an opponent controls with equal or lesser mana value and put a +1/+1 counter on Scrapdragon Tyrant.",,6,5,,,https://www.planesculptors.net/upload/5734/16049/Scrapdragon%20Tyrant.jpg,Red,
Scrapdragon Whelp,UR05,2rr,,Artifact Creature,Dragon,uncommon,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Sacrifice another artifact: Move its counters onto Scrapdragon Whelp.
Remove a counter from Scrapdragon Whelp: It gains flying until end of turn.",,1,0,,,https://www.planesculptors.net/upload/5734/16049/Scrapdragon%20Whelp.jpg,Red,
Shocking Revelation,CR16,1r,,Sorcery,,common,"Shocking Revelation deals 3 damage to target creature or planeswalker.
Exile the top card of your library. Until the end of your next turn, you may play that card.",,,,,,https://www.planesculptors.net/upload/5734/16049/Shocking%20Revelation.jpg,Red,
Shrapnel Cannon,UR08,2r,,Artifact,,uncommon,"Whenever a nontoken creature you control dies, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)
{t}, Sacrifice X Scraps: Shrapnel Cannon deals X damage to any target.",,,,,,https://www.planesculptors.net/upload/5734/16049/Shrapnel%20Cannon.jpg,Red,FALSE
Spark Sower,CR01,r,,Artifact Creature,Ape Artificer,common,"When Spark Sower enters, create a 2/1 red Elemental artifact creature token with haste and &quot;&quot;At the beginning of your end step, sacrifice this creature.&quot;&quot;",,1,1,,,https://www.planesculptors.net/upload/5734/16049/Spark%20Sower.jpg,Red,
Spellmad Infiltrator,UR07,4r,,Sorcery,,uncommon,"Create a red Warrior artifact creature token with menace and &quot;&quot;This creature&#39;s power and toughness are each equal to the number of instant and sorcery cards in your graveyard plus the number of instant and sorcery cards you own in exile.&quot;&quot;
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Spellmad%20Infiltrator.jpg,Red,
Strike a Spark,CR13,1rr,,Instant,,common,"Strike a Spark deals 4 damage to target creature or planeswalker. If excess damage was dealt this way, create a 2/1 red Elemental artifact creature token with haste and &quot;&quot;At the beginning of your end step, sacrifice this creature.&quot;&quot;",,,,,,https://www.planesculptors.net/upload/5734/16049/Strike%20a%20Spark.jpg,Red,
Structural Distortion,UR12,3r,,Sorcery,,uncommon,Exile target artifact or land. Structural Distortion deals 2 damage to that permanent’s controller.,"The plane of Namekkos normally runs like a well-oiled machine. Even so, glitches in the aether can have far-reaching consequences.",,,,,https://www.planesculptors.net/upload/5734/16049/Structural%20Distortion.jpg,Red,
Stun Scorpion,CR08,3R,,Artifact Creature,Scorpion,common,"Clockwork 3 (This creature enters with 3 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Whenever you remove one or more counters from Stun Scorpion, it deals that much damage to any target.","It charges its claws in the desert sand, stunning its prey with a sharp shock.",0,0,,,https://www.planesculptors.net/upload/5734/16049/Stun%20Scorpion.jpg,Red,FALSE
Thermite Reaction,UR11,2r,,Sorcery,,uncommon,"As an additional cost to cast this spell, sacrifice an artifact.
Thermite Reaction deals 5 damage to any target.",,,,,,https://www.planesculptors.net/upload/5734/16049/Thermite%20Reaction.jpg,Red,
Two-Headed Bull,CR09,3r,,Artifact Creature,Cattle,common,"Menace
Whenever you cast your second spell each turn, Two-Headed Bull gets +2/+0 until end of turn.",A swipe from either head will leave stars in your eyes.,2,4,,,https://www.planesculptors.net/upload/5734/16049/Two-Headed%20Bull.jpg,Red,
Warehouse Scavenger,CR05,2r,,Artifact Creature,Ape Pirate,common,"Haste
{1}, {T}, Sacrifice an artifact: Exile the top two cards of your library. Choose one of them. Until the end of your next turn, you may play that card.",,1,1,,,https://www.planesculptors.net/upload/5734/16049/Warehouse%20Scavenger.jpg,Red,FALSE
